school number,District,campus,district2,latitude,longitude,address,grade_span,school_type,feeder
'057905269,'057905,ONESIMO HERNANDEZ EL,DALLAS ISD,32.8197708,-96.8364182,"5555 Maple Ave, Dallas, TX 75235",'PK - 05,E,NORTH DALLAS HIGH SCHOOL
'057905174,'057905,ROBERT E LEE EL,DALLAS ISD,32.8241577,-96.766861,"2911 Delmar Ave, Dallas, TX 75206",'EE - 05,E,WOODROW WILSON HIGH SCHOOL
'057905048,'057905,W H GASTON MIDDLE,DALLAS ISD,32.8247681,-96.6941147,"9565 Mercer Dr, Dallas, TX 75228",'06 - 08,M,BRYAN ADAMS HIGH SCHOOL
'057905171,'057905,LAKEWOOD EL,DALLAS ISD,32.8256989,-96.7433929,"3000 Hillbrook St, Dallas, TX 75214",'PK - 05,E,WOODROW WILSON HIGH SCHOOL
'057905181,'057905,MAPLE LAWN EL,DALLAS ISD,32.8258858,-96.8298645,"3120 Inwood Rd, Dallas, TX 75235",'PK - 05,E,NORTH DALLAS HIGH SCHOOL
'057905166,'057905,EDWIN J KIEST EL,DALLAS ISD,32.8259163,-96.6697311,"2611 Healey Dr, Dallas, TX 75228",'EE - 05,E,BRYAN ADAMS HIGH SCHOOL
'057905001,'057905,BRYAN ADAMS H S,DALLAS ISD,32.8275909,-96.6809158,"2101 Millmar Dr, Dallas, TX 75228",'09 - 12,S,#N/A
'057905154,'057905,LARRY G SMITH EL,DALLAS ISD,32.8330154,-96.6592865,"5299 Gus Thomasson Rd, Mesquite, TX 75150",'EE - 05,E,BRYAN ADAMS HIGH SCHOOL
'057905162,'057905,STONEWALL JACKSON ELEMENTARY SCHOOL,DALLAS ISD,32.8356247,-96.7673416,"5828 E Mockingbird Ln, Dallas, TX 75206",'KG - 05,E,WOODROW WILSON HIGH SCHOOL
'057905199,'057905,REINHARDT ELEMENTARY SCHOOL,DALLAS ISD,32.8366089,-96.6909561,"10122 Losa Dr, Dallas, TX 75218",'PK - 05,E,BRYAN ADAMS HIGH SCHOOL
'057905168,'057905,OBADIAH KNIGHT ELEMENTARY SCHOOL,DALLAS ISD,32.8368645,-96.8518143,"2615 Anson Rd, Dallas, TX 75235",'PK - 05,E,THOMAS JEFFERSON H S
'057905194,'057905,K B POLK CENTER FOR ACADEMICALLY TALENTED & GIFTED,DALLAS ISD,32.8411484,-96.8316879,"6911 Victoria Ave, Dallas, TX 75209",'EE - 05,E,THOMAS JEFFERSON H S
